Company,Ticker,Strengths,Risks,PE,EPS,ROE,DebtEquity,RevenueGrowth,Score,Recommendation
Marksans Pharma Limited,MARKSANS.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],23.061855,7.76,0.14073,12.238,0.122,-1,SELL
Maruti Suzuki India Limited,MARUTI.NS,"['Average profitability', 'Low debt', 'Slow revenue growth']",['Stock may be overvalued'],35.35954,469.35,0.1565,0.1,0.131,1,SELL
MAS Financial Services Limited,MASFIN.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],16.953838,18.63,0.12874,347.367,0.272,-1,SELL
Mask Investments Limited,MASKINVEST.NS,[],"['PE data missing', 'Weak profitability', 'Moderate debt level', 'Declining revenues']",,-0.11,-0.00023,0.826,-0.924,-2,SELL
Mastek Limited,MASTEK.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],18.307442,117.16,0.14722,20.327,0.084,-2,SELL
Master Trust Limited,MASTERTR.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Declining revenues']",11.731949,10.11,,,-0.088,1,SELL
Matrimony.Com Limited,MATRIMONY.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",33.171803,15.89,0.123730004,22.336,-0.008,-4,SELL
Mawana Sugars Limited,MAWANASUG.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']",3.3594162,26.71,0.25238,1.911,0.121,3,HOLD
Max Estates Limited,MAXESTATES.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",112.641975,4.05,0.01773,69.537,0.414,-3,SELL
Max Healthcare Institute Limited,MAXHEALTH.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",77.62283,13.84,0.14397,32.579,0.251,-2,SELL
Max India Limited,MAXIND.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-31.19,-0.32984,43.616,0.056,-3,SELL
Mayur Uniquoters Ltd,MAYURUNIQ.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'Moderate debt level']",14.060204,35.38,0.16171,0.735,0.155,3,HOLD
Mazda Limited,MAZDA.NS,"['Fair valuation', 'Average profitability']","['Debt data missing', 'Declining revenues']",16.772799,12.72,0.11257,,-0.105,-1,SELL
Mazagon Dock Shipbuilders Limited,MAZDOCK.NS,"['High profitability', 'Low debt', 'Slow revenue growth']",['Stock may be overvalued'],43.87776,57.92,0.28816998,0.021,0.063,2,HOLD
Madhya Bharat Agro Products Limited,MBAPL.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",39.850533,10.37,0.21884,68.15,0.618,0,SELL
M & B Engineering Limited,MBEL.NS,"['Fair valuation', 'Strong revenue growth']","['ROE data missing', 'High debt risk']",25.271345,15.11,,19.131,0.485,-1,SELL
MBL Infrastructure Limited,MBLINFRA.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-3.68,-0.08364,98.238,0.521,-2,SELL
Madhav Copper Limited,MCL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",34.735294,1.7,0.07725,112.554,0.988,-3,SELL
Mcleod Russel India Limited,MCLEODRUSS.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-26.44,-1.39805,3010.147,-0.198,-4,SELL
Magellanic Cloud Limited,MCLOUD.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']",14.266304,1.84,0.20707001,46.793,0.045,2,HOLD
Multi Commodity Exchange of India Limited,MCX.NS,"['High profitability', 'Low debt', 'Strong revenue growth']",['Stock may be overvalued'],81.0264,136.4,0.25017,0.024,0.289,3,HOLD
Global Health Limited,MEDANTA.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",56.354916,20.85,0.16391,25.468,0.149,-2,SELL
Medi Assist Healthcare Services Limited,MEDIASSIST.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",38.703384,11.53,0.15099,51.568,0.286,-2,SELL
Medicamen Biotech Limited,MEDICAMEQ.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",54.502167,6.93,0.0346,14.033,0.063,-4,SELL
Medico Remedies Limited,MEDICO.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",38.48905,1.37,0.18546,18.737,0.338,-2,SELL
Medplus Health Services Limited,MEDPLUS.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",50.17549,16.24,0.11209,64.689,0.065,-3,SELL
Meesho Limited,MEESHO.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']",,-4.71,,8.629,0.426,-1,SELL
Megasoft Limited,MEGASOFT.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Revenue growth data missing']",8.583927,23.89,0.64134,1.385,,2,HOLD
Megastar Foods Limited,MEGASTAR.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",44.888454,5.11,0.060650002,177.675,0.533,-3,SELL
Mangal Electrical Industries Limited,MEIL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],23.36943,16.16,0.12777,11.98,0.167,-1,SELL
Menon Bearings Limited,MENONBE.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],21.754099,4.88,0.17853001,33.356,0.053,-2,SELL
MEP Infrastructure Developers Limited,MEP.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']",,-46.14,,,2.245,1,SELL
Metro Brands Limited,METROBRAND.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",88.243454,12.98,0.1861,77.874,0.112,-2,SELL
Metropolis Healthcare Limited,METROPOLIS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",62.757607,30.57,0.12077,13.916,0.227,-2,SELL
Mahalaxmi Fabric Mills Limited,MFML.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",4.9860835,5.03,0.05667,65.601,-0.339,-2,SELL
Max Financial Services Limited,MFSL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",343.3265,4.87,,22.445,0.087,-3,SELL
Mangalam Global Enterprise Limited,MGEL.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",13.321101,1.09,0.17134,103.412,0.254,1,SELL
Mahanagar Gas Limited,MGL.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']",11.520372,98.66,0.16568,3.545,0.148,1,SELL
Mahalaxmi Rubtech Limited,MHLXMIRU.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",10.901777,19.14,0.29202998,18.767,0.269,3,HOLD
Mahindra Holidays & Resorts India Limited,MHRIL.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",46.508297,6.63,0.19877,471.153,0.069,-3,SELL
MIC Electronics Limited,MICEL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",115.23077,0.39,0.04309,20.072,0.38,-3,SELL
Mishra Dhatu Nigam Limited,MIDHANI.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",55.3125,5.76,0.07716,23.466,-0.2,-5,SELL
Midwest Limited,MIDWESTLTD.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']",49.902393,33.81,,34.016,0.124,-2,SELL
Minda Corporation Limited,MINDACORP.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",52.087814,11.16,0.11748999,62.969,0.19,-2,SELL
Mindteck (India) Limited,MINDTECK.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",20.871399,9.72,0.11833999,2.04,-0.061,-3,SELL
MIRC Electronics Limited,MIRCELECTR.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-0.68,-0.12784,31.055,0.079,-3,SELL
Mirza International Limited,MIRZAINT.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",51.287666,0.73,0.01792,4.955,-0.184,-5,SELL
MITCON Consultancy & Engineering Services Limited,MITCON.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",41.126503,1.66,0.027929999,62.951,0.058,-4,SELL
Mittal Life Style Limited,MITTAL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",40.000004,0.03,0.04422,14.045,0.287,-3,SELL
M K Proteins Limited,MKPL.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",27.636364,0.22,0.12129,2.694,-0.037,-3,SELL
MM Forgings Limited,MMFL.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",18.079838,19.79,0.10746,140.389,-0.033,-3,SELL
MMP Industries Limited,MMP.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",27.5,9.16,0.074489996,53.99,0.296,-2,SELL
MMTC Limited,MMTC.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']",43.70068,1.47,0.12129,1.796,-0.295,-4,SELL
One Mobikwik Systems Limited,MOBIKWIK.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-23.12,-0.53418,65.223,-0.07,-4,SELL
Modi Naturals Limited,MODINATUR.NS,"['Low valuation', 'High profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']",13.551147,27.47,0.29497,106.715,0.003,2,HOLD
Modi Rubber Limited,MODIRUBBER.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']",24.821693,6.73,0.02411,2.81,0.201,-2,SELL
Modis Navnirman Limited,MODIS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",33.92857,10.08,0.12824,3.162,0.507,-2,SELL
MODISON LIMITED,MODISONLTD.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",14.670743,9.81,0.14708,37.68,0.185,1,SELL
Modern Threads (India) Limited,MODTHREAD.NS,['Fair valuation'],"['ROE data missing', 'Debt data missing', 'Revenue growth data missing']",27.803797,1.58,,,,0,SELL
Mohit Industries Limited,MOHITIND.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-1.1,-0.00654,40.091,0.343,-2,SELL
MOIL Limited,MOIL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['Debt data missing'],24.61876,14.82,0.113570005,,0.192,1,SELL
Moksh Ornaments Limited,MOKSH.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",12.048,1.25,0.09616,31.143,-0.043,-2,SELL
Meghmani Organics Limited,MOL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",41.451614,1.55,0.026099999,54.599,0.061,-4,SELL
Mold-Tek Technologies Limited,MOLDTECH.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",152.52475,1.01,0.02248,4.117,-0.066,-5,SELL
Mold-Tek Packaging Limited,MOLDTKPAC.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],29.649683,20.41,0.10493,34.014,0.096,-2,SELL
Monarch Networth Capital Limited,MONARCH.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",15.715762,19.35,0.19315,1.259,-0.161,-3,SELL
Moneyboxx Finance Limited,MONEYBOXX.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-0.76,-0.01733,246.36,0.077,-3,SELL
Monte Carlo Fashions Limited,MONTECARLO.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],16.73861,41.7,0.10927,89.066,0.132,-1,SELL
Morepen Laboratories Limited,MOREPENLAB.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",23.06704,1.79,0.0862,13.239,-0.06,-4,SELL
Moschip Technologies Limited,MOSCHIP.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",95.23611,2.16,0.12953,13.098,0.17,-2,SELL
Samvardhana Motherson International Limited,MOTHERSON.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",41.42014,2.88,0.09554,49.937,0.08,-4,SELL
Motilal Oswal Financial Services Limited,MOTILALOFS.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",26.185925,32.97,0.16871001,121.038,-0.387,-3,SELL
Motisons Jewellers Limited,MOTISONS.NS,['Average profitability'],"['PE data missing', 'High debt risk', 'Declining revenues']",,-1.01,0.14199,12.395,-0.173,-3,SELL
The Motor & General Finance Limited,MOTOGENFIN.NS,['Low debt'],"['Stock may be overvalued', 'Weak profitability', 'Declining revenues']",58.28205,0.39,0.01984,0.483,-0.107,-2,SELL
MphasiS Limited,MPHASIS.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",30.422626,93.7,0.19518,20.567,0.103,-2,SELL
MPS Limited,MPSLTD.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk'],18.995148,105.09,0.38149,2.061,0.094,0,SELL
MRF Limited,MRF.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",34.321037,4376.47,0.0999,18.678,0.072,-4,SELL
Mangalore Refinery and Petrochemicals Limited,MRPL.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",24.49493,5.92,0.08091,81.274,-0.093,-4,SELL
MSP Steel & Power Limited,MSPL.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-1.55,-0.11058,30.822,0.031,-3,SELL
Mstc Limited,MSTCLTD.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",8.637132,59.14,0.46194,17.456,0.182,3,HOLD
Motherson Sumi Wiring India Limited,MSUMI.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",48.526882,0.93,0.35456002,13.718,0.185,0,SELL
Mtar Technologies Limited,MTARTECH.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",165.5671,14.46,0.06199,25.061,-0.287,-5,SELL
MT Educare Limited,MTEDUCARE.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']",,-3.13,-3.7745402,,0.075,-1,SELL
Mahanagar Telephone Nigam Limited,MTNL.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']",,-56.62,,,0.089,0,SELL
Mufin Green Finance Limited,MUFIN.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",106.66354,1.07,0.06217,272.397,0.063,-4,SELL
Credo Brands Marketing Limited,MUFTI.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",11.378995,8.76,0.14463,58.118,-0.118,-1,SELL
Mukand Limited,MUKANDLTD.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",29.554567,4.49,0.068720005,189.15,-0.081,-4,SELL
Mukka Proteins Limited,MUKKA.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],15.227847,1.58,0.11249,131.932,0.639,-1,SELL
Mukta Arts Limited,MUKTAARTS.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']",,-7.1,,,0.086,0,SELL
Munjal Auto Industries Limited,MUNJALAU.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",24.129911,3.31,0.09437,87.847,0.118,-2,SELL
Munjal Showa Limited,MUNJALSHOW.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'Debt data missing']",19.288136,6.49,0.03903,,0.047,-1,SELL
Murudeshwar Ceramics Limited,MURUDCERA.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",20.449705,1.69,0.027309999,34.717,0.064,-3,SELL
Muthoot Capital Services Limited,MUTHOOTCAP.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",26.425144,10.42,0.02643,448.898,-0.085,-4,SELL
Muthoot Finance Limited,MUTHOOTFIN.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk'],20.790668,182.63,0.23806,367.438,0.635,1,SELL
Muthoot Microfin Limited,MUTHOOTMF.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-21.4,-0.12649,320.224,-0.064,-4,SELL
Manoj Vaibhav Gems N Jewellers Limited,MVGJL.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']",8.790261,21.36,0.1452,53.159,0.177,1,SELL
Mangalam Worldwide Limited,MWL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],22.284008,12.57,0.15061,78.694,0.334,-1,SELL
NACL Industries Limited-RE,NACL-RE.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",,,,,,0,SELL
NACL Industries Limited,NACLIND.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-3.26,-0.1487,112.964,0.038,-3,SELL
Nagarjuna Fertilizers and Chemicals Limited,NAGAFERT.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']",,-0.04,,,-0.999,-1,SELL
Nagreeka Capital & Infrastructure Limited,NAGREEKCAP.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",2.0774488,13.17,0.86134005,329.865,-0.659,1,SELL
Nagreeka Exports Limited,NAGREEKEXP.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",31.282352,0.85,0.017280001,110.687,-0.102,-5,SELL
Nahar Capital and Financial Services Limited,NAHARCAP.NS,"['Low valuation', 'Low debt']","['Stock appears undervalued', 'Weak profitability', 'Declining revenues']",7.219567,35.57,0.03628,0.362,-0.199,1,SELL
Nahar Industrial Enterprises Limited,NAHARINDUS.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",11.287201,9.61,0.04196,50.924,-0.044,-2,SELL
Nahar Poly Films Limited,NAHARPOLY.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",9.700162,24.68,0.07085,11.21,0.022,-1,SELL
Nahar Spinning Mills Limited,NAHARSPING.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",21.136364,9.24,0.02279,49.532,-0.016,-4,SELL
Nippon Life India Asset Management Limited,NAM-INDIA.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",41.952106,20.67,0.31588,1.938,0.004,-1,SELL
Narmada Agrobase Limited,NARMADA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",53.024998,0.4,0.09915,18.194,0.162,-3,SELL
Natural Capsules Limited,NATCAPSUQ.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-11.51,-0.047420003,45.685,0.111,-2,SELL
Natco Pharma Limited,NATCOPHARM.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",10.571328,85.94,0.19437,3.012,-0.006,-1,SELL
Nath Bio-Genes (India) Limited,NATHBIOGEN.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']",6.734852,23.27,0.06691,22.774,0.362,0,SELL
National Aluminium Company Limited,NATIONALUM.NS,"['Low valuation', 'High profitability', 'Low debt', 'Slow revenue growth']",['Stock appears undervalued'],9.220253,33.28,0.34459,0.282,0.073,5,BUY
Info Edge (India) Limited,NAUKRI.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Moderate debt level']",67.04958,20.37,0.03525,0.544,0.149,-1,SELL
NAVA LIMITED,NAVA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk'],17.214817,32.26,0.13036,15.987,0.07,-2,SELL
Navin Fluorine International Limited,NAVINFLUOR.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",65.10147,88.7,0.14631,32.677,0.463,-2,SELL
Navkar Corporation Limited,NAVKARCORP.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-1.54,-0.011879999,9.144,0.222,-2,SELL
Navkar Urbanstructure Limited,NAVKARURB.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Revenue growth data missing']",,-0.09,-0.00926,3.823,,-3,SELL
Navneet Education Limited,NAVNETEDUL.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']",18.161413,7.93,0.10706,5.146,-0.091,-3,SELL
Nazara Technologies Limited,NAZARA.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-2.68,0.008090001,5.66,0.651,-2,SELL
NBCC (India) Limited,NBCC.NS,"['High profitability', 'Low debt', 'Strong revenue growth']",['Stock may be overvalued'],54.98198,2.22,0.22934,0.011,0.227,3,HOLD
N. B. I. Industrial Finance Company Limited,NBIFIN.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing']",64.38863,34.84,0.00387,,0.57,-1,SELL
NCC Limited,NCC.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']",12.498815,12.65,0.11417,37.893,-0.126,-1,SELL
NCL Industries Limited,NCLIND.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",17.958904,10.95,0.05748,35.688,0.044,-3,SELL
Naga Dhunseri Group Limited,NDGL.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",7.297755,395.93,,,,2,HOLD
Nandan Denim Limited,NDL.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",1.2680851,2.35,0.06101,34.572,-0.077,-2,SELL
NDL Ventures Limited,NDLVENTURE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing', 'Revenue growth data missing']",404.31818,0.22,0.01232,,,-2,SELL
Ndr Auto Components Limited,NDRAUTO.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",33.359886,24.48,0.19224001,15.671,0.148,-2,SELL
New Delhi Television Limited,NDTV.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']",,-33.59,-5.39258,,0.098,-1,SELL
North Eastern Carrying Corporation Limited,NECCLTD.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",25.054054,0.74,0.033350002,55.5,-0.137,-4,SELL
Nectar Lifesciences Limited,NECLIFE.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-5.08,-0.12687,64.007,-0.988,-4,SELL
Nelcast Limited,NELCAST.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']",24.790096,4.24,0.06661,51.3,-0.096,-4,SELL
NELCO Limited,NELCO.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']",399.62366,1.86,0.033570003,55.947,-0.1,-5,SELL
Neogen Chemicals Limited,NEOGEN.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",117.061806,9.87,0.03306,141.474,0.079,-4,SELL
Nephrocare Health Services Limited,NEPHROPLUS.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Revenue growth data missing']",71.07463,6.7,0.13448,36.468,,-3,SELL
Nesco Limited,NESCO.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],20.827656,58.72,0.15818,3.913,0.17,-1,SELL
Nestle India Limited,NESTLEIND.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",83.50394,15.24,0.70792,10.753,0.106,0,SELL
Netweb Technologies India Limited,NETWEB.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",131.4238,23.95,0.2609,3.108,0.21,0,SELL
Network18 Media & Investments Limited,NETWORK18.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']",,-8.34,-0.07545,64.359,-0.727,-4,SELL
Neueon Corporation Limited,NEUEON.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Revenue growth data missing']",,-27.25,,6.215,,-2,SELL
Neuland Laboratories Limited,NEULANDLAB.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",80.066284,187.07,0.15928,16.327,0.654,-2,SELL
Newgen Software Technologies Limited,NEWGEN.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']",36.672497,22.87,0.22743,3.254,0.146,0,SELL
Next Mediaworks Limited,NEXTMEDIA.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']",0.64816755,9.55,,,,2,HOLD
National Fertilizers Limited,NFL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",40.8093,2.15,0.04123,176.918,0.54,-3,SELL
Nakoda Group of Industries Limited,NGIL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']",,-1.42,-0.07538,41.959,0.576,-2,SELL
NGL Fine-Chem Limited,NGLFINE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']",39.269814,33.69,0.07221,29.381,0.286,-3,SELL
Narayana Hrudayalaya Ltd.,NH.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']",44.85046,41.46,0.23226999,57.614,0.174,0,SELL
NHPC Limited,NHPC.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']",28.915129,2.71,0.07776,100.41,0.103,-2,SELL
The New India Assurance Company Limited,NIACL.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'Debt data missing']",21.849434,7.04,0.02454,,0.247,0,SELL
NIBE Limited,NIBE.NS,[],"['Stock may be overvalued', 'ROE data missing', 'High debt risk', 'Declining revenues']",1681.3236,0.68,,31.522,-0.25,-4,SELL
NRB Industrial Bearings Limited,NIBL.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'ROE data missing', 'Debt data missing']",3.155022,9.16,,,0.092,2,HOLD
NIIT Limited,NIITLTD.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Moderate debt level']",39.570213,2.35,0.03088,0.638,0.157,-1,SELL
NIIT Learning Systems Limited,NIITMTS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],29.707682,14.71,0.17095,19.46,0.197,-1,SELL
Nila Infrastructures Limited,NILAINFRA.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk'],16.525425,0.59,0.13936,13.641,0.86,-1,SELL
