Company,Ticker,Strengths,Risks
Jayshree Tea & Industries Limited,JAYSREETEA.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
JBM Auto Limited,JBMA.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Jet Freight Logistics Limited,JETFREIGHT.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
J.G.Chemicals Limited,JGCHEM.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
JHS Svendgaard Laboratories Limited,JHS.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Jindal Photo Limited,JINDALPHOT.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Jindal Poly Films Limited,JINDALPOLY.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
Jindal Saw Limited,JINDALSAW.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
JINDAL STEEL LIMITED,JINDALSTEL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jindal Drilling And Industries Limited,JINDRILL.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Jindal Worldwide Limited,JINDWORLD.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jio Financial Services Limited,JIOFIN.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jain Irrigation Systems Limited,JISLDVREQS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jain Irrigation Systems Limited,JISLJALEQS.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
JITF Infralogistics Limited,JITFINFRA.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']"
JK Cement Limited,JKCEMENT.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
J.Kumar Infraprojects Limited,JKIL.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Jinkushal Industries Limited,JKIPL.NS,"['Fair valuation', 'Slow revenue growth']","['ROE data missing', 'High debt risk']"
JK Lakshmi Cement Limited,JKLAKSHMI.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
JK Paper Limited,JKPAPER.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
JK Tyre & Industries Limited,JKTYRE.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Jupiter Life Line Hospitals Limited,JLHL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Jullundur Motor Agency (Delhi) Limited,JMA.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']"
JM Financial Limited,JMFINANCIL.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
JNK India Limited,JNKINDIA.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jocil Limited,JOCIL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jindal Poly Investment and Finance Company Limited,JPOLYINVST.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Jaiprakash Power Ventures Limited,JPPOWER.NS,"['Fair valuation', 'Strong revenue growth']","['Weak profitability', 'High debt risk']"
Jana Small Finance Bank Limited,JSFB.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'Debt data missing']"
Jindal Stainless Limited,JSL.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Jeena Sikho Lifecare Limited,JSLL.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
JSW Cement Limited,JSWCEMENT.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']"
JSW Energy Limited,JSWENERGY.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
JSW Holdings Limited,JSWHL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
JSW Infrastructure Limited,JSWINFRA.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
JSW Steel Limited,JSWSTEEL.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jtekt India Limited,JTEKTINDIA.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
JTL INDUSTRIES LIMITED,JTLIND.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Jubilant Agri and Consumer Products Limited,JUBLCPL.NS,"['Fair valuation', 'Strong revenue growth']","['ROE data missing', 'High debt risk']"
Jubilant Foodworks Limited,JUBLFOOD.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Jubilant Ingrevia Limited,JUBLINGREA.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Jubilant Pharmova Limited,JUBLPHARMA.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Juniper Hotels Limited,JUNIPER.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Just Dial Limited,JUSTDIAL.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Jupiter Wagons Limited,JWL.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Jyothy Labs Limited,JYOTHYLAB.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
Jyoti CNC Automation Limited,JYOTICNC.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Jyoti Structures Limited,JYOTISTRUC.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Kabra Extrusion Technik Limited,KABRAEXTRU.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Kajaria Ceramics Limited,KAJARIACER.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kakatiya Cement Sugar & Industries Limited,KAKATCEM.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Sai Silks (Kalamandir) Limited,KALAMANDIR.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Kalpataru Limited,KALPATARU.NS,['Strong revenue growth'],"['PE data missing', 'ROE data missing', 'High debt risk']"
Kalyani Commercials Limited,KALYANI.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
Kalyani Forge Limited,KALYANIFRG.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kalyan Jewellers India Limited,KALYANKJIL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kamat Hotels (I) Limited,KAMATHOTEL.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Kamdhenu Limited,KAMDHENU.NS,"['Low valuation', 'High profitability', 'Low debt', 'Slow revenue growth']",['Stock appears undervalued']
Kamdhenu Ventures Limited,KAMOPAINTS.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Kanani Industries Limited,KANANIIND.NS,"['Fair valuation', 'Low debt', 'Slow revenue growth']",['Weak profitability']
Kanoria Chemicals & Industries Limited,KANORICHEM.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kanpur Plastipack Limited,KANPRPLA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Kansai Nerolac Paints Limited,KANSAINER.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Kapston Services Limited,KAPSTON.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Karma Energy Limited,KARMAENG.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Karur Vysya Bank Limited,KARURVYSYA.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'Debt data missing']"
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']"
Kavveri Defence & Wireless Technologies Limited,KAVDEFENCE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Kaya Limited,KAYA.NS,['Slow revenue growth'],"['PE data missing', 'ROE data missing', 'Debt data missing']"
Kaynes Technology India Limited,KAYNES.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
KCP Limited,KCP.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
KCP Sugar and Industries Corporation Limited,KCPSUGIND.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
KDDL Limited,KDDL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
KEC International Limited,KEC.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Kirloskar Electric Company Limited,KECL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
DSJ Keep Learning Limited,KEEPLEARN.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing']"
KEI Industries Limited,KEI.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kellton Tech Solutions Limited,KELLTONTEC.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Kernex Microsystems (India) Limited,KERNEX.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kesoram Industries Limited,KESORAMIND.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Keynote Financial Services Limited,KEYFINSERV.NS,['Fair valuation'],"['Weak profitability', 'Moderate debt level', 'Revenue growth data missing']"
Kfin Technologies Limited,KFINTECH.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Khadim India Limited,KHADIM.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Khaitan Chemicals & Fertilizers Limited,KHAICHEM.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Khaitan (India) Limited,KHAITANLTD.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
Khandwala Securities Limited,KHANDSE.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kalyani Investment Company Limited,KICL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Kilitch Drugs (India) Limited,KILITCH.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Krishna Institute of Medical Sciences Limited,KIMS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kingfa Science & Technology (India) Limited,KINGFA.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
KIOCL Limited,KIOCL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Kiri Industries Limited,KIRIINDUS.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kirloskar Brothers Limited,KIRLOSBROS.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Kirloskar Oil Engines Limited,KIRLOSENG.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kirloskar Industries Limited,KIRLOSIND.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Kirloskar Pneumatic Company Limited,KIRLPNU.NS,['Average profitability'],"['Stock may be overvalued', 'Moderate debt level', 'Declining revenues']"
Kitex Garments Limited,KITEX.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
Kewal Kiran Clothing Limited,KKCL.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Knowledge Marine & Engineering Works Limited,KMEW.NS,['High profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
K.M.Sugar Mills Limited,KMSUGAR.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
KN Agri Resources Limited,KNAGRI.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
KNR Constructions Limited,KNRCON.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Kohinoor Foods Limited,KOHINOOR.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'ROE data missing', 'Debt data missing']"
Kokuyo Camlin Limited,KOKUYOCMLN.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kolte - Patil Developers Limited,KOLTEPATIL.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kopran Limited,KOPRAN.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kotak Mahindra Bank Limited,KOTAKBANK.NS,"['Fair valuation', 'Average profitability']","['Debt data missing', 'Declining revenues']"
Kothari Sugars And Chemicals Limited,KOTARISUG.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kothari Petrochemicals Limited,KOTHARIPET.NS,"['Low valuation', 'High profitability']","['Stock appears undervalued', 'Moderate debt level', 'Declining revenues']"
Kothari Products Limited,KOTHARIPRO.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
K.P. Energy Limited,KPEL.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
KPI Green Energy Limited,KPIGREEN.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Kalpataru Projects International Limited,KPIL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
KPIT Technologies Limited,KPITTECH.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
K.P.R. Mill Limited,KPRMILL.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
KRBL Limited,KRBL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Krebs Biochemicals and Industries Limited,KREBSBIO.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
Kridhan Infra Limited,KRIDHANINF.NS,['Low valuation'],"['Stock appears undervalued', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
Krishana Phoschem Limited,KRISHANA.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Krishival Foods Limited-RE,KRISHFL-RE.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Revenue growth data missing']"
Krishival Foods Limited,KRISHIVAL.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kriti Industries (India) Limited,KRITI.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kritika Wires Limited,KRITIKA.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Kriti Nutrients Limited,KRITINUT.NS,"['Low valuation', 'Average profitability', 'Strong revenue growth']","['Stock appears undervalued', 'High debt risk']"
KRN Heat Exchanger and Refrigeration Limited,KRN.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Kronox Lab Sciences Limited,KRONOX.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
Kross Limited,KROSS.NS,"['Fair valuation', 'Average profitability']","['High debt risk', 'Declining revenues']"
Krsnaa Diagnostics Limited,KRSNAA.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Krystal Integrated Services Limited,KRYSTAL.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Ksb Limited,KSB.NS,"['Low debt', 'Slow revenue growth']","['Stock may be overvalued', 'ROE data missing']"
Kaveri Seed Company Limited,KSCL.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['Debt data missing']
KSH International Limited,KSHINTL.NS,['High profitability'],"['Stock may be overvalued', 'High debt risk', 'Revenue growth data missing']"
Kshitij Polyline Limited,KSHITIJPOL.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Kalyani Steels Limited,KSL.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Ksolves India Limited,KSOLVES.NS,"['Fair valuation', 'High profitability', 'Slow revenue growth']",['High debt risk']
KSR Footwear Limited,KSR.NS,[],"['PE data missing', 'ROE data missing', 'High debt risk', 'Declining revenues']"
The Karnataka Bank Limited,KTKBANK.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
Kuantum Papers Limited,KUANTUM.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Lagnam Spintex Limited,LAGNAM.NS,"['Low valuation', 'Average profitability']","['Stock appears undervalued', 'High debt risk', 'Declining revenues']"
Lakshmi Precision Screws Limited,LAKPRE.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']"
Lorenzini Apparels Limited,LAL.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lambodhara Textiles Limited,LAMBODHARA.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Lancor Holdings Limited,LANCORHOL.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Landmark Cars Limited,LANDMARK.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
La Opala RG Limited,LAOPALA.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Lasa Supergenerics Limited,LASA.NS,['Low valuation'],"['Stock appears undervalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Latent View Analytics Limited,LATENTVIEW.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Latteys Industries Limited,LATTEYS.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Laurus Labs Limited,LAURUSLABS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Laxmi Cotspin Limited,LAXMICOT.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Laxmi Dental Limited,LAXMIDENTL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Laxmi India Finance Limited,LAXMIINDIA.NS,"['Fair valuation', 'Strong revenue growth']","['ROE data missing', 'High debt risk']"
LCC Infotech Limited,LCCINFOTEC.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Le Merite Exports Limited,LEMERITE.NS,['Average profitability'],"['Stock may be overvalued', 'High debt risk', 'Declining revenues']"
Lemon Tree Hotels Limited,LEMONTREE.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lenskart Solutions Limited,LENSKART.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Lexus Granito (India) Limited,LEXUS.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lakshmi Finance & Industrial Corporation Limited,LFIC.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Declining revenues']"
LG Balakrishnan & Bros Limited,LGBBROSLTD.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
LG Electronics India Limited,LGEINDIA.NS,['Slow revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Laxmi Goldorna House Limited,LGHL.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
Libas Consumer Products Limited,LIBAS.NS,"['Low valuation', 'Slow revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Liberty Shoes Limited,LIBERTSHOE.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
LIC Housing Finance Limited,LICHSGFIN.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Life Insurance Corporation Of India,LICI.NS,"['Low valuation', 'High profitability', 'Low debt', 'Slow revenue growth']",['Stock appears undervalued']
Likhitha Infrastructure Limited,LIKHITHA.NS,"['Low valuation', 'Average profitability', 'Low debt']","['Stock appears undervalued', 'Declining revenues']"
Linc Limited,LINC.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Lincoln Pharmaceuticals Limited,LINCOLN.NS,"['Low valuation', 'Average profitability', 'Low debt', 'Slow revenue growth']",['Stock appears undervalued']
Linde India Limited,LINDEINDIA.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
LLOYDS ENGINEERING WORKS LIMITED,LLOYDSENGG.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lloyds Enterprises Limited,LLOYDSENT.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
Lloyds Metals And Energy Limited,LLOYDSME.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
LMW Limited,LMW.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing']"
Lodha Developers Limited,LODHA.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lokesh Machines Limited,LOKESHMACH.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Lords Chloro Alkali Limited,LORDSCHLO.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Sri Lotus Developers and Realty Limited,LOTUSDEV.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Lotus Eye Hospital and Institute Limited,LOTUSEYE.NS,['Slow revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Lovable Lingerie Limited,LOVABLE.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Loyal Textile Mills Limited,LOYALTEX.NS,[],"['PE data missing', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Landmark Property Development Company Limited,LPDC.NS,[],"['PE data missing', 'Weak profitability', 'Debt data missing', 'Revenue growth data missing']"
Larsen & Toubro Limited,LT.NS,"['Average profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
L&T Finance Limited,LTF.NS,"['Fair valuation', 'Average profitability', 'Slow revenue growth']",['High debt risk']
LT Foods Limited,LTFOODS.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
LTIMindtree Limited,LTIM.NS,"['High profitability', 'Slow revenue growth']","['Stock may be overvalued', 'High debt risk']"
L&T Technology Services Limited,LTTS.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lumax Industries Limited,LUMAXIND.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lumax Auto Technologies Limited,LUMAXTECH.NS,"['High profitability', 'Strong revenue growth']","['Stock may be overvalued', 'High debt risk']"
Lupin Limited,LUPIN.NS,"['Fair valuation', 'High profitability', 'Strong revenue growth']",['High debt risk']
Lux Industries Limited,LUXIND.NS,"['Fair valuation', 'Slow revenue growth']","['Weak profitability', 'High debt risk']"
Laxmi Organic Industries Limited,LXCHEM.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Lyka Labs Limited,LYKALABS.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Lypsa Gems & Jewellery Limited,LYPSAGEMS.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'Debt data missing']"
Mahindra & Mahindra Limited,M&M.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Mahindra & Mahindra Financial Services Limited,M&MFIN.NS,"['Fair valuation', 'Average profitability', 'Strong revenue growth']",['High debt risk']
Maan Aluminium Limited,MAANALU.NS,[],"['Stock may be overvalued', 'Weak profitability', 'High debt risk', 'Declining revenues']"
Macpower CNC Machines Limited,MACPOWER.NS,"['Average profitability', 'Strong revenue growth']","['Stock may be overvalued', 'Moderate debt level']"
Madhav Marbles and Granites Limited,MADHAV.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Madhucon Projects Limited,MADHUCON.NS,[],"['PE data missing', 'ROE data missing', 'Debt data missing', 'Declining revenues']"
Madras Fertilizers Limited,MADRASFERT.NS,['Fair valuation'],"['ROE data missing', 'High debt risk', 'Declining revenues']"
Magadh Sugar & Energy Limited,MAGADSUGAR.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
Magnum Ventures Limited,MAGNUM.NS,['Strong revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Bank of Maharashtra,MAHABANK.NS,"['Low valuation', 'High profitability', 'Strong revenue growth']","['Stock appears undervalued', 'Debt data missing']"
Maha Rashtra Apex Corporation Limited,MAHAPEXLTD.NS,"['Fair valuation', 'High profitability']","['Debt data missing', 'Declining revenues']"
Mahamaya Steel Industries Limited,MAHASTEEL.NS,['Strong revenue growth'],"['Stock may be overvalued', 'ROE data missing', 'High debt risk']"
Mahindra EPC Irrigation Limited,MAHEPC.NS,['Fair valuation'],"['Weak profitability', 'High debt risk', 'Declining revenues']"
Maheshwari Logistics Limited,MAHESHWARI.NS,"['Low valuation', 'Strong revenue growth']","['Stock appears undervalued', 'Weak profitability', 'High debt risk']"
Mahindra Lifespace Developers Limited,MAHLIFE.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'High debt risk']"
Mahindra Logistics Limited,MAHLOG.NS,['Slow revenue growth'],"['PE data missing', 'Weak profitability', 'High debt risk']"
Maharashtra Scooters Limited,MAHSCOOTER.NS,['Strong revenue growth'],"['Stock may be overvalued', 'Weak profitability', 'Debt data missing']"
Maharashtra Seamless Limited,MAHSEAMLES.NS,"['Low valuation', 'Average profitability', 'Low debt']","['Stock appears undervalued', 'Declining revenues']"
Maithan Alloys Limited,MAITHANALL.NS,"['Low valuation', 'Average profitability', 'Slow revenue growth']","['Stock appears undervalued', 'High debt risk']"
